Card,Tier,Energy,Rarity,Type,Card Text,Upgraded Text,Notes
Conflagration,C,1,Rare,Attack,Deal 8 damage to ALL enemies. Deals 2 additional damage for each other Attack you've played this turn.,Deal 9 damage to ALL enemies. Deals 3 additional damage for each other Attack you've played this turn.,Bad rare. Stomp is better at uncommon.
Drum of Battle,C,0,Rare,Power,"Draw 2 cards. At the start of your turn, Exhaust the top card of your Draw Pile.","Draw 3 cards. At the start of your turn, Exhaust the top card of your Draw Pile.",Risky. Can exhaust key cards. Only when winning.
Grapple,C,1,Common,Attack,"Deal 7 damage. Whenever you gain Block this turn, deal 5 damage to the enemy.","Deal 9 damage. Whenever you gain Block this turn, deal 7 damage to the enemy.",Weird. Rather play Bash into attacks.
Havoc,C,1,Common,Skill,Play the top card of your Draw Pile and Exhaust it.,Play the top card of your Draw Pile and Exhaust it.,Less useful now. Better exhaust options exist. Upgrades to 0.
Howl from Beyond,C,3,Rare,Attack,"Deal 16 damage to ALL enemies. At the start of your turn, plays from the Exhaust Pile.","Deal 21 damage to ALL enemies. At the start of your turn, plays from the Exhaust Pile.",Clunky. Must be exhausted first to replay. 3 energy bad.
Infernal Blade,C,1,Uncommon,Skill,Add a random Attack into your Hand. It's free to play this turn. Exhaust.,Add a random Attack into your Hand. It's free to play this turn. Exhaust.,Less needed. Sometimes get Body Slam.
Juggernaut,C,2,Rare,Power,"Whenever you gain Block, deal 5 damage to a random enemy.","Whenever you gain Block, deal 7 damage to a random enemy.",No good block cards to trigger it. Feel No Pain gone.
Mangle,C,3,Rare,Attack,Deal 15 damage. Enemy loses 10 Strength this turn.,Deal 20 damage. Enemy loses 15 Strength this turn.,Too expensive. Should cost 2.
Molten Fist,C,1,Uncommon,Attack,Deal 10 damage. Double the enemy's Vulnerable. Exhaust.,Deal 14 damage. Double the enemy's Vulnerable. Exhaust.,Vuln synergy awkward. How does this enter deck?
Perfected Strike,C,2,Uncommon,Attack,Deal 6 damage. Deals 2 additional damage for ALL your cards containing 'Strike'.,Deal 6 damage. Deals 3 additional damage for ALL your cards containing 'Strike'.,Falls off fast. Removing strikes is common.
Rupture,C,1,Uncommon,Power,"Whenever you lose HP on your turn, gain 1 Strength.","Whenever you lose HP on your turn, gain 2 Strength.",Strength not needed. Needs upgrade.
Setup Strike,C,1,Common,Attack,Deal 7 damage. Gain 2 Strength this turn.,Deal 9 damage. Gain 3 Strength this turn.,Meh. Strength doesn't pay off.
Stone Armor,C,1,Common,Power,Gain 4 Plating.,Gain 6 Plating.,Plating decreases now. Much worse than Metallicize was.
Tremble,C,1,Uncommon,Skill,Apply 2 Vulnerable.,Apply 3 Vulnerable.,Better options exist.
Twin Strike,C,1,Common,Attack,Deal 5 damage twice.,Deal 7 damage twice.,Strength payoff bad in this game.
Unmovable,C,2,Rare,Power,"The first time you gain Block from a card each turn, double the amount gained.","The first time you gain Block from a card each turn, double the amount gained.",Niche. Barricade archetype doesn't work.
Break,D,2,Ancient,Attack,Deal 20 damage. Apply 5 Vulnerable.,Deal 25 damage. Apply 7 Vulnerable.,Ancient boon not worth it. Other boons way better.
Body Slam,D,1,Uncommon,Attack,Deal damage equal to your Block.,Deal damage equal to your Block.,No enablers for block builds. Power Through gone. Upgrades to 0.
Dominate,D,1,Uncommon,Skill,Gain 1 Strength for each Vulnerable on the enemy. Exhaust.,Gain 1 Strength for each Vulnerable on the enemy. Exhaust.,Draw order dependent. Rather just play Strike.
Fight Me!,D,2,Uncommon,Attack,Deal 5 damage twice. Gain 2 Strength. The enemy gains 1 Strength.,Deal 6 damage twice. Gain 3 Strength. The enemy gains 1 Strength.,Buffs enemy. Why?
Juggling,D,1,Uncommon,Power,Add a copy of the third Attack you play each turn into your Hand.,Innate. Add a copy of the third Attack you play each turn into your Hand.,Can brick infinite. Very awkward.
One-Two Punch,D,1,Rare,Skill,"This turn, your next Attack is played an extra time.","This turn, your next 2 Attacks are played an extra time.",No big attacks to double. Not good in Spire 1 either.
Sword Boomerang,D,1,Common,Attack,Deal 3 damage to a random enemy 3 times.,Deal 3 damage to a random enemy 4 times.,Strength bad. Can't target. AoE fights common.
Tear Asunder,D,2,Rare,Attack,Deal 5 damage. Hits an additional time for each time you lost HP this combat.,Deal 7 damage. Hits an additional time for each time you lost HP this combat.,"Too slow. If looping Bloodletting, you already won."
Demonic Shield,B,0,Uncommon,Skill,"Lose 1 HP.
Give another player [gold]Block[/gold] equal to your [gold]Block[/gold].[InCombat]",,NEW - needs evaluation
Tank,B,1,Rare,Power,"Take double damage from enemies.
Allies take half damage from enemies.",,NEW - needs evaluation
