Card,Tier,Energy,Rarity,Type,Card Text,Upgraded Text,Notes
Protector,S,1,Ancient,Attack,Osty deals 10 damage. Deals additional damage equal to Osty's max HP.,Costs 0. Osty deals 15 damage. Deals additional damage equal to Osty's max HP.,Ancient exclusive. Massive damage if building Osty. Upgrade to 0 is disgusting.
The Scythe,S,2,Rare,Attack,Deal 13 damage. Permanently increase this card's damage by 3. Exhaust.,Deal 17 damage. Permanently increase this card's damage by 3. Exhaust.,Genetic Algorithm but damage. Get early = snowball. Hallway farming card. S if Act 1.
Defy,A,1,Common,Skill,Ethereal. Gain 6 Block. Apply 1 Weak.,Ethereal. Gain 9 Block. Apply 1 Weak.,Best block common. Ethereal + Weak + Block. Basically block 20 for 1. Upgrade is solid.
Borrowed Time,A,0,Uncommon,Skill,Apply 3 Doom to yourself. Gain 1 energy.,Apply 3 Doom to yourself. Gain 2 energy.,"Was S-tier, nerfed. Self-doom increased. Still infinite enabler with Capture Spirit. Pickable."
Death's Door,A,1,Uncommon,Skill,"Gain 6 Block. If you applied Doom this turn, Block two additional times.","Gain 8 Block. If you applied Doom this turn, Block two additional times.",18 block for 1 if you have Doom. Works with Countdown. Disgusting block card.
Debilitate,A,1,Uncommon,Attack,Deal 10 damage. Vulnerable and Weak are twice as effective for 3 turns.,Deal 12 damage. Vulnerable and Weak are twice as effective for 4 turns.,Weak blocks 50% instead of 25%. Vuln = 100% more damage. 3 turns is insane. Gross.
Enfeebling Touch,A,0,Common,Skill,Ethereal. Enemy loses 8 Strength this turn.,Ethereal. Enemy loses 10 Strength this turn.,Piercing Wail equivalent. Full blocks multi-attackers. Ethereal = synergies + exhausts. A tier.
Deathbringer,A,2,Uncommon,Skill,Apply 21 Doom and 1 Weak to ALL enemies.,Apply 27 Doom and 2 Weak to ALL enemies.,21 AoE Doom + Weak. Big numbers. Great early game. Ends multi-enemy fights.
End of Days,A,3,Uncommon,Attack,Apply 29 Doom to ALL enemies. Kill enemies with at least as much Doom as HP.,Apply 35 Doom to ALL enemies. Kill enemies with at least as much Doom as HP.,Instant Doom execution. Kills Decimillipede segments. Early game AoE clear. A tier.
Fetch,A,0,Common,Attack,"Osty deals 3 damage. If this is the first time this card has been played this turn, draw 1 card.","Osty deals 4 damage. If this is the first time this card has been played this turn, draw 1 card.",FTL but always works. Free damage + draw. Enables Osty attack package. Always pickable.
Hang,A,1,Rare,Attack,Osty deals 10 damage. Double the damage all Hang cards deal to the enemy.,Osty deals 14 damage. Double the damage all Hang cards deal to the enemy.,Claw but good. Boss killer. One card solves damage problem. Multiple copies stack.
Haunt,A,1,Rare,Power,"Whenever you play a Soul, a random enemy loses 6 HP.","Whenever you play a Soul, a random enemy loses 8 HP.","Infinite payoff. Even without infinite, 3 Souls = 18 damage for free. Rewards Soul strategy."
Lethality,A,1,Uncommon,Power,Ethereal. The first attack each turn deals 50% additional damage.,Ethereal. The first attack each turn deals 75% additional damage.,50% more damage on Unleash. Stacks additively. Works with Eradicate. Great scaling.
Misery,A,0,Uncommon,Attack,Deal 7 damage. Apply any debuffs on the enemy to all other characters.,Deal 10 damage. Apply any debuffs on the enemy to all other characters.,Free damage. Transfer Weak/Doom to all enemies. Gross in multi-enemy fights.
Spirit of Ash,A,1,Uncommon,Power,"Whenever you play an Ethereal card, gain 4 Block.","Whenever you play an Ethereal card, gain 5 Block.",Mental Fortress but Ethereal. Many cards have Ethereal. Blocks millions per turn. A tier.
Eradicate,A,X,Rare,Attack,Retain. Deal 11 damage X times.,Retain. Deal 14 damage X times.,Skewer with Retain. Combos with Lethality and Debilitate. Hold for big burst turn.
No Escape,A,1,Uncommon,Skill,Apply 10 Doom plus an additional 5 Doom for every 10 Doom already on the enemy.,Apply 13 Doom plus an additional 6 Doom for every 13 Doom already on the enemy.,Boss killer for Doom decks. Stacks exponentially. One card solves boss scaling.
Glimpse Beyond,A,1,Rare,Skill,Add 4 Souls into your draw pile.,Add 5 Souls into your draw pile.,Multiplayer only? But crazy Soul generation. Draw 8-10 cards worth.
Squeeze,A,1,Rare,Attack,Osty deals 25 damage. Deals 5 additional damage for each other Osty attack this turn.,Osty deals 30 damage. Deals 6 additional damage for each other Osty attack this turn.,Osty package payoff. Need Fetch/Flatten/Poke setup but huge damage.
Grave Warden,B,1,Common,Skill,Gain 8 Block. Add a Soul into your draw pile.,Gain 11 Block. Add a Soul into your draw pile.,Shrug it Off + draw 2 later. Premium block common. Take multiple copies.
Bone Shards,B,1,Common,Attack,"If Osty is alive, he deals 9 damage to ALL enemies and you gain 9 Block. Osty dies.","If Osty is alive, he deals 12 damage to ALL enemies and you gain 12 Block. Osty dies.",AoE + block but kills Osty. Good early when Osty is low anyway. Awkward late.
Countdown,B,1,Uncommon,Power,"At the start of your turn, apply 6 Doom to a random enemy.","At the start of your turn, apply 7 Doom to a random enemy.",Noxious Fumes but Doom. Opens Doom synergies. Enables Death's Door every turn.
Flatten,B,2,Uncommon,Attack,Osty deals 12 damage. This card costs 0 if Osty has attacked this turn.,Osty deals 15 damage. This card costs 0 if Osty has attacked this turn.,Free 12 damage with Fetch. Loopable. Multiple copies get scary. Needs Osty attacks.
Reanimate,B,3,Rare,Skill,Summon 20. Exhaust.,Summon 24. Exhaust.,Impervious but carries over. Big block that stays. 3 energy is clunky.
Death March,B,1,Common,Attack,Deal 8 damage. Deal 3 additional damage for each card drawn during your turn.,Deal 11 damage. Deal 4 additional damage for each card drawn during your turn.,Scales with Souls. 8 base is fine. With Soul chains = 20+ damage for 1.
Negative Pulse,B,1,Common,Skill,Gain 5 Block. Apply 7 Doom to ALL enemies.,Gain 7 Block. Apply 11 Doom to ALL enemies.,Block common that also does AoE damage. 7 block + 11 AoE Doom. Why is this common?
Dredge,B,1,Uncommon,Skill,Put 3 cards from your discard pile into your hand. Exhaust.,Put 4 cards from your discard pile into your hand. Exhaust.,"Retrieve combo pieces. Pull back Borrowed Time, Souls, big blocks. Exhausts itself."
High Five,B,2,Uncommon,Attack,Osty deals 11 damage to ALL enemies. Apply 2 Vulnerable to ALL enemies.,Osty deals 14 damage to ALL enemies. Apply 2 Vulnerable to ALL enemies.,AoE + Vuln. Works with Lethality/Debilitate. Solid setup card.
Melancholy,B,3,Uncommon,Skill,Gain 13 Block. This card's cost is reduced by 1 whenever anyone dies.,Gain 16 Block. This card's cost is reduced by 1 whenever anyone dies.,Osty dying counts! Can become 0-cost 13 block. Cool design. Bone Shards synergy.
Eidolon,B,2,Rare,Skill,"Exhaust your hand. If 9 cards were exhausted this way, gain 1 Intangible.","Exhaust your hand. If 9 cards were exhausted this way, gain 1 Intangible.",9 cards is rare without Souls. But exhaust hand = faster infinite. B tier for that.
Reaper Form,B,3,Rare,Power,"Whenever attacks deal damage, they also apply that much Doom.","Whenever attacks deal damage, they also apply that much Doom.",Double your damage effectively. 3 energy is clunky but gross payoff in bosses.
Snap,B,1,Common,Attack,Osty deals 7 damage. Add Retain to a card in your hand.,Osty deals 9 damage. Add Retain to a card in your hand.,Permanent Retain is strong. Line up combos. Better than it looks.
Soul Storm,B,1,Rare,Attack,Osty deals 9 damage. Deals 2 additional damage for each Soul in your exhaust pile.,Osty deals 12 damage. Deals 3 additional damage for each Soul in your exhaust pile.,Boss killer for Soul decks. 9 base is fine. Scales with Soul generation.
Sow,B,1,Common,Attack,Retain. Deal 8 damage to ALL enemies.,Retain. Deal 11 damage to ALL enemies.,Cleave with Retain. AoE is important. Solid Act 1 pick.
Undeath,B,0,Rare,Skill,Gain 7 Block. Add a copy of this card into your discard pile.,Gain 10 Block. Add a copy of this card into your discard pile.,Opposite of Anger for block. Need exhaust to control growth. Decent frontload.
Shroud,B,1,Uncommon,Power,"Whenever you apply Doom, gain 2 Block.","Whenever you apply Doom, gain 3 Block.",Doom = block. Works with Countdown. Package dependent but solid.
Shared Fate,B,0,Uncommon,Skill,Lose 2 Strength. Enemy loses 2 Strength. Exhaust.,Lose 1 Strength. Enemy loses 1 Strength. Exhaust.,Free Disarm. Strength loss irrelevant if Osty attacks. Great vs multi-attackers.
Transfigure,B,1,Uncommon,Skill,Add Replay to a card in your hand. It costs 1 extra energy. Exhaust.,Add Replay to a card in your hand. It costs 1 extra energy. Exhaust.,Replay = play twice. On Dirge = insane. Draw order dependent but high ceiling.
Veilpiercer,B,1,Common,Attack,Deal 10 damage. Next Ethereal card you play costs 0.,Deal 13 damage. Next Ethereal card you play costs 0.,10 damage + energy cheat. Cheats Domain into play. Solid.
Devour Life,B,1,Uncommon,Power,"Whenever you play a Soul, Summon 1.","Whenever you play a Soul, Summon 2.",Souls = Osty HP = damage + defense. Needs Soul synergy. High ceiling.
Calcify,B,1,Uncommon,Power,Osty attacks deal 4 additional damage.,Osty attacks deal 6 additional damage.,Accuracy for Osty. Weaker (fewer attacks than Shivs) but still solid.
Parse,B,1,Common,Skill,Ethereal. Draw 3 cards.,Ethereal. Draw 4 cards.,Skim with Ethereal. Necro has lots of draw already but still good.
Time's Up,B,2,Uncommon,Attack,Deal damage equal to enemy's Doom. Exhaust.,Deal damage equal to enemy's Doom. Exhaust.,Doom payoff. Need Doom stacking but can do big burst.
Reave,C,1,Common,Attack,Deal 9 damage. Add a Soul into your draw pile.,Deal 12 damage. Add a Soul into your draw pile.,Pommel Strike but delayed draw. Fine damage common.
Drain Power,C,1,Uncommon,Attack,Deal 10 damage. Upgrade 2 random cards in your discard pile.,Deal 10 damage. Upgrade 3 random cards in your discard pile.,Slow value. Janky scaling. Not exciting but does something.
Fear,C,1,Common,Attack,Ethereal. Deal 7 damage. Apply 1 Vulnerable.,Ethereal. Deal 9 damage. Apply 2 Vulnerable.,One energy Bash. Ethereal is good. Sets up damage.
Sculpting Strike,C,1,Common,Attack,Deal 9 damage. Add Ethereal to a card in your hand.,Deal 12 damage. Add Ethereal to a card in your hand.,Enables Ethereal synergies. Deck thinning tool. Fine.
Graveblast,C,1,Uncommon,Attack,Deal 4 damage. Put a card from your discard pile into your hand. Exhaust.,Deal 6 damage. Put a card from your discard pile into your hand. Exhaust.,Hologram but damage. Rather have block version but does something.
Blight Strike,C,1,Common,Attack,Deal 8 damage. Apply Doom equal to damage dealt.,Deal 10 damage. Apply Doom equal to damage dealt.,Doom + damage. Essentially 16 damage for 1 if Doom executes. Okay.
Scourge,C,1,Common,Skill,Apply 13 Doom. Draw 1 card.,Apply 16 Doom. Draw 2 cards.,Doom + draw. Decent numbers. Damage common that cycles.
Poke,C,0,Common,Attack,Osty deals 6 damage.,Osty deals 8 damage.,Zero-cost Osty attack. Bridges into Osty package. Decent early.
Pull Aggro,C,2,Common,Skill,Summon 4. Gain 7 Block.,Summon 6. Gain 10 Block.,Block 11 essentially. Some carries over. 2 energy is awkward.
Afterlife,C,1,Common,Skill,Summon 6. Exhaust.,Summon 9. Exhaust.,Slightly better Bodyguard that exhausts. Not exciting.
Right Hand Hand,C,0,Uncommon,Attack,"Osty deals 4 damage. Whenever you play a card that costs 2+, return this from discard.","Osty deals 6 damage. Whenever you play a card that costs 2+, return this from discard.",Free damage loop. Awkward to enable. Needs expensive cards.
Pull from Below,C,1,Uncommon,Attack,Deal 5 damage for each Ethereal card played this combat.,Deal 7 damage for each Ethereal card played this combat.,Ethereal payoff. Need 4+ Ethereal cards. Boss killer for Ethereal builds.
Spur,C,1,Uncommon,Skill,Retain. Summon 3. Osty heals 5 HP.,Retain. Summon 5. Osty heals 7 HP.,Block + heal for Osty. Retain is nice. Needs Osty stacking.
Invoke,C,1,Uncommon,Skill,"Next turn, Summon 2 and gain 2 energy.","Next turn, Summon 3 and gain 3 energy.",Outmaneuver + Summon. Setup card. Fights go long so usually fine.
Delay,C,2,Common,Skill,"Gain 11 Block. Next turn, gain 1 energy.","Gain 14 Block. Next turn, gain 2 energy.",Converting energy now to later. Okay but Defy exists.
Reap,C,3,Common,Attack,Retain. Deal 27 damage.,Retain. Deal 33 damage.,"Big damage with Retain. Doesn't scale. Good early, falls off."
Cleanse,C,1,Uncommon,Skill,Summon 3. Exhaust a card from your draw pile.,Summon 5. Exhaust a card from your draw pile.,Target exhaust + block. Enables infinite. Not exciting but useful.
Call of the Void,C,1,Rare,Power,"At the start of your turn, add 1 random card into your hand with Ethereal.","At the start of your turn, add 1 random card into your hand with Ethereal.",Hello World that doesn't clog. Free cards. Enables Ethereal synergies.
Putrefy,C,1,Uncommon,Skill,Apply 2 Weak. Apply 2 Vulnerable. Exhaust.,Apply 3 Weak. Apply 3 Vulnerable. Exhaust.,Debuff card. Needs Lethality/Debilitate to really shine.
Sentry Mode,C,2,Rare,Power,"At the start of your turn, add 1 Sweeping Gaze into your hand.","At the start of your turn, add 1 Sweeping Gaze into your hand.",10 Osty damage per turn. 2 energy is rough. Countdown is better.
Sacrifice,C,1,Uncommon,Skill,"Retain. If Osty is alive, he dies. Gain Block equal to double his max HP.","Costs 0. Retain. If Osty is alive, he dies. Gain Block equal to double his max HP.",Huge block if Osty is big. Awkward early. Upgrade to 0 is nice.
Necro Mastery,C,2,Rare,Power,"Summon 5. Whenever Osty loses HP, all enemies lose that much HP.","Summon 8. Whenever Osty loses HP, all enemies lose that much HP.",AoE when Osty takes damage. Doesn't work with Bone Shards (he dies). Weird.
Rattle,C,1,Uncommon,Attack,Osty deals 7 damage. Hits an additional time for each other Osty attack this turn.,Osty deals 9 damage. Hits an additional time for each other Osty attack this turn.,Needs Osty attacks to work. High ceiling with Fetch/Poke. Package dependent.
Sic 'Em,C,1,Uncommon,Skill,Summon 7 for each Osty attack played this turn.,Summon 9 for each Osty attack played this turn.,Osty package payoff. Need setup. Free block if built for it.
Severance,C,2,Uncommon,Attack,"Deal 13 damage. Add a Soul into your hand, draw pile, and discard pile.","Deal 16 damage. Add a Soul into your hand, draw pile, and discard pile.",3 Souls but 2 energy. Lets you Soul chain same turn (hand). Fine.
Wisp,D,0,Common,Skill,Gain 1 energy. Exhaust.,Gain 1 energy. Retain. Exhaust.,Worse Miracle. Doesn't upgrade to 2 energy. Brick in bad hands.
Oblivion,D,0,Uncommon,Skill,"Whenever you play a card that costs 0, apply 3 Doom to the enemy.","Whenever you play a card that costs 0, apply 4 Doom to the enemy.",Needs 0-cost spam. Souls don't trigger (exhaust not 0-cost). Weak payoff.
Bury,D,4,Rare,Attack,Deal 52 damage.,Deal 60 damage.,4 energy is brutal. Often unplayable. Need energy gen. Feels like a curse.
Danse Macabre,D,1,Uncommon,Power,"Whenever you play a card that costs 2+, gain 4 Block.","Whenever you play a card that costs 2+, gain 6 Block.",Proc once a turn max. Metallicize gives 3 free. Why does this exist?
Defile,B,1,Common,Attack,Deal 13 damage.,,NEW - needs evaluation
Legion of Bone,B,2,Uncommon,Skill,ALL players [gold]Summon[/gold] 6.,,NEW - summon/bone synergy
Pagestorm,B,1,Uncommon,Power,"Whenever you draw an [gold]Ethereal[/gold] card, draw 1 card.",,NEW - Ethereal synergy
Sleight of Flesh,B,2,Uncommon,Power,"Whenever you apply a debuff to an enemy, they take 9 damage.",,NEW - needs evaluation
