Card,Tier,Energy,Rarity,Type,Card Text,Upgraded Text,Notes
Tracking,C,2,Uncommon,Skill,Weak enemies take double damage from Attacks.,Costs 1. Weak enemies take double damage from Attacks.,Double damage is wrath. 2 energy hurts. Needs upgrade. Often infinite anyway.
Poisoned Stab,C,1,Common,Attack,Deal 6 damage. Apply 3 Poison.,Deal 8 damage. Apply 4 Poison.,Just numbers. 12 damage equivalent. Fine early.
Slice,C,0,Common,Attack,Deal 5 damage.,Deal 8 damage.,Zero cost damage. Sly cards better (don't need to redraw). Less good than Spire 1.
Leading Strike,C,1,Common,Attack,Deal 11 damage. Add 1 Shiv to your hand.,Deal 14 damage. Add 1 Shiv to your hand.,Damage common. One shiv not enough for accuracy.
Anticipate,C,0,Uncommon,Skill,Gain 3 Dexterity this turn.,Gain 5 Dexterity this turn.,Temporary Dex. Rather draw combo pieces. Energy cheat but meh.
Up My Sleeve,B,2,Common,Skill,Add 3 Shivs into your hand. Reduce this card's cost by 1.,Add 4 Shivs into your hand. Reduce this card's cost by 1.,Blade Dance that DOESN'T exhaust! Cost goes 2→1→0. Infinite Shivs in long fights. Excellent with Knife Trap.
Hand Trick,C,1,Uncommon,Skill,Gain 7 Block. Add Sly to a Skill in your hand this turn.,Gain 10 Block. Add Sly to a Skill in your hand this turn.,Situational energy cheat. What expensive skills do you have? Probably underrated.
Fan of Knives,C,2,Uncommon,Attack,Deal 4 damage to ALL enemies. Add 4 Shivs into your hand.,Deal 4 damage to ALL enemies. Add 4 Shivs into your hand. Exhaust.,16 AoE for 2 that exhausts. Fine. No Shiv synergies usually.
Memento Mori,C,1,Uncommon,Attack,Deal 8 damage. Deals 4 additional damage for each card discarded this turn.,Deal 10 damage. Deals 5 additional damage for each card discarded this turn.,Discard payoff without Sly. 1 energy cost hurts. Better payoffs exist.
Mirage,C,1,Uncommon,Skill,Gain Block equal to Poison on ALL enemies. Exhaust.,Gain Block equal to Poison on ALL enemies. Exhaust.,Need poison setup. Twisted Funnel only. Very niche.
Finisher,B,1,Rare,Attack,Deal 6 damage for each Attack played this turn.,Deal 8 damage for each Attack played this turn.,Early Shiv payoff before you find Knife Trap. +6 damage per Shiv. Chunks elites. Falls off vs bosses.
Pounce,D,2,Uncommon,Attack,Deal 12 damage. The next Skill you play costs 0.,Deal 16 damage. The next Skill you play costs 0.,Most skills cost 1 or less already. Basically 1-for-12. Fine. Awkward.
Envenom,C,2,Uncommon,Power,"Whenever an Attack deals unblocked damage, apply 1 Poison.","Whenever an Attack deals unblocked damage, apply 2 Poison.",Works with Shivs for poison stacking. 2 energy is clunky. Don't use with Accelerant (small poisons burn off too fast).
Skewer,D,X,Uncommon,Attack,Deal 7 damage X times.,Deal 10 damage X times.,Energy at premium. No ChemX often. Niche with enchantments.
Deflect,D,0,Common,Skill,Gain 4 Block.,Gain 7 Block.,Worse than Spire 1. Better things exist. At least free.
Dodge and Roll,D,1,Uncommon,Skill,"Gain 4 Block. Next turn, gain 4 Block.","Gain 6 Block. Next turn, gain 6 Block.",Blocking with Dex less common. 1 energy brick.
Expertise,D,1,Rare,Skill,Draw cards until you have 6 cards in hand.,Draw cards until you have 7 cards in hand.,Clunky. Wants upgrade. Not attached to discard. Can enable infinite sometimes.
Knife Trap,A,2,Rare,Skill,Play every Shiv in your Exhaust pile against the enemy.,Play every Shiv in your Exhaust pile against the enemy. Shiv becomes Shiv+.,NEW SHIV CORE. Plays ALL Shivs from exhaust = massive burst. Upgrade gives Shiv+ damage. Boss melter. Won more runs with this alone than with Accuracy alone.
Accelerant,A,2,Uncommon,Skill,Poison ticks 1 additional time.,Poison ticks 2 additional times. Costs 1.,THE KEY POISON CARD. Makes 10 poison deal 27 damage (10+9+8). Upgrade ASAP. Changes entire archetype.
Bubble Bubble,B,1,Uncommon,Attack,"Deal 5 damage. If enemy is Poisoned, deal 5 damage again.","Deal 7 damage. If enemy is Poisoned, deal 7 damage again.",Great with Noxious Fumes or Twisted Funnel. Adds massive damage to poison builds. Don't take too early without poison source.
Blade of Ink,B,1,Uncommon,Skill,Gain 2 Strength per attack this turn. Gain 4 Block.,Gain 3 Strength per attack this turn. Gain 6 Block.,#2 Shiv support card. Stacks Strength fast with Shivs (2→4→6→8...). Great with Knife Trap burst turn.
Outbreak,D,1,Uncommon,Power,"Every 3 times you apply Poison, deal 11 damage to ALL enemies.","Every 3 times you apply Poison, deal 14 damage to ALL enemies.",Meant for Envenom Shivs. Clunky. Poison bad. Every 3 is too slow.
Phantom Blades,D,1,Uncommon,Power,Shivs gain Retain. First Shiv each turn deals 9 additional damage.,Shivs gain Retain. First Shiv each turn deals 12 additional damage.,Once-a-turn Accuracy. Strange. Works with Infinite Blades. Niche.
Serpent Form,D,3,Uncommon,Power,"Whenever you play a card, deal 4 damage to a random enemy.","Whenever you play a card, deal 6 damage to a random enemy.",3 energy too much. Just worse Speedster. Shivs bad anyway.
Shadow Step,D,1,Uncommon,Skill,"Discard your hand. Next turn, Attacks deal double damage.","Discard your hand. Next turn, Attacks deal double damage.",Unload + Phantasmal Killer. Throws away Well-Laid Plans. Gamble on next draw. Bad.
Shadowmeld,D,1,Uncommon,Skill,Double your Block gain this turn.,Double your Block gain this turn. Costs 0.,Need to block more than 5 to be worth it. How often? Combo card for nothing.
Storm of Steel,D,2,Uncommon,Skill,Discard your hand. Add a Shiv for each card discarded.,Discard your hand. Add a Shiv for each card discarded. Costs 1.,Terrible. Ruins Well-Laid Plans. Ruins Retain. Shivs bad.
Echoing Slash,D,2,Rare,Attack,Deal 6 damage to ALL enemies. Deal 6 damage to ALL enemies.,Deal 8 damage to ALL enemies. Deal 8 damage to ALL enemies.,"Being rare hurts. Just damage. Fine early, never see it early."
Murder,D,3,Rare,Attack,Deal 1 damage. Deal 1 additional damage for each card drawn this combat.,Deal 1 damage. Deal 1 additional damage for each card drawn this combat.,"3 energy brick. If drawing lots, you're infinite already. Never want turn 1."
Snakebite,C,2,Common,Skill,Apply 10 Poison. Retain.,Apply 10 Poison. Retain.,Retain is valuable for timing. 10 poison with Accelerant+ = 27 burst. Don't take more than 1. Upgrade recommended.
Flanking,B,2,Uncommon,Skill,The enemy takes double damage from other players this turn.,,NEW - needs evaluation
Sneaky,B,2,Rare,Power,"Whenever another player attacks an enemy, gain 1 [gold]Block[/gold].",,"NEW - Sly keyword, likely good"
