name,tier,energy,type,rarity,notes
Hidden Gem,S,1,Skill,Rare,"Broken broken broken. Top of S tier. One-card boss solve. Random card gains Replay 2 (4 plays with upgrade). Hits powers (got 4 Footworks once). Draw pile = immediate value. Can hit Alchemize for stalling."
Impatience,C,0,Skill,Uncommon,"Awkward since Spire 1. Best for infinite setups but every character has better options now. Brick from Neow. 3% brick rate on colorless Neow."
Jack of All Trades,C,0,Skill,Uncommon,"Random colorless = better now since colorless is better. Can high roll into good stuff. Not picking from selection like Discovery hurts. Top of situational. Try upgraded version."
Jackpot,C,3,Attack,Rare,"Ultra desperation pick. Doesn't exhaust so can cheese long fights. Character-specific 0-cost cards. Defect has most synergy (zero-cost archetype). Regent can print unplayable star cards. Niche."
Master of Strategy,S,0,Skill,Rare,"Really good acceleration. Never skip if free. Bottom of S tier - expensive and only helps deck do what it does. Not output solve in Act 1. Strong but opportunity cost is real."
Mayhem,C,2,Power,Rare,"~1 extra uncontrolled energy. Can randomly Fiend Fire your hand. Boss solve if desperate. Mostly situational. Better from card gen than buying."
Mind Blast,C,1,Attack,Uncommon,"Buffed to 1 cost (was 2). ~10 damage early. Scales but wrong direction (want engine not frontload in Act 3). Hard to justify buying/starting. Worse than Spire 1."
Nostalgia,D,1,Power,Rare,"Weird. First attack/skill goes to draw pile top. -1 draw effectively. If looping one card, probably already built small deck. Rare hurts. Almost never. Would be situational if uncommon."
Omnislice,A,0,Attack,Uncommon,"Scales with Vuln. Regent/Clad = 12 damage read. Can loop. Zero cost AoE = strong early. Almost solves Act 1 from Neow. Not useful past first half of run. Works with Kunai/Shuriken."
Panache,B,0,Power,Uncommon,"Unchanged from Spire 1. Need to proc 5 cards/turn reliably - Silent Shivs mainly. Clad can't proc (no 0-cost, has 2-cost). Less needed now - everyone has AoE options. Average tier."
Panic Button,S,0,Skill,Uncommon,"S tier. 30 block for 0. 'Can't block next turn' = play it, block huge hit, kill next turn. Same damage as blocking 10 twice but make progress. Works with powers that block (Child of Stars). Fixed enemy patterns = know when playable."
Prep Time,B,1,Power,Uncommon,"4 Vigor/turn stacks. Necrobinder + Lethality = big. Multi-hit attacks synergy. Flesh mentioned. Average - plays better than expected. Later game you have better answers."
Production,A,0,Skill,Uncommon,"Nerfed (was upgrade to not exhaust, now +3 energy). Still good burst energy for powers. Like upgraded Seeing Red. Can float energy so not always full value. Can add 'not exhaust' enchant for infinite. Silent + Bag of Prep = sick. Regent least wants (star costs)."
Prolong,A,0,Skill,Uncommon,"Slept on. Carry block to next turn. 2 Defends + Prolong = block 10 next turn free. Endgame = 30 block carry. Prolong + Panic Button = sick. Scales throughout run. Upgrades to not exhaust."
Prowess,S,1,Power,Uncommon,"Stupid card. +1 Str +1 Dex (upgrades to +2/+2). Footwork + Inflame in one card. Every character has both now. Boss solve. Hallway good. Solves scaling with one card."
Purity,B,0,Skill,Uncommon,"Has Retain now (buff). Exhaust synergies (Clad). Thin deck for looping. Need draw to make work. Bad early - minus one draw. Frog parasite status removal. End game purchase mostly. Average."
Rend,D,2,Attack,Rare,"Number not high enough. Clad has Cinder (24 for 2, no downside). Stacking debuffs = already winning. Artifact fights = sad. Almost never buying."
Restlessness,D,0,Skill,Uncommon,"Almost never plays. Never had this work ever. Empty hand is very hard. Reads poorly. Almost never."
Rolling Boulder,C,3,Power,Rare,"Slow boss kill. Delayed AOE like Doom. Upgrade only increases flat damage (not scaling). Can kill boss and that's it. Situational."
Salvo,A,1,Attack,Rare,"Bottom of good tier. Retain keyword is broken. 12 damage is fine. Rare hurts (costs more, can't see from Neow). Would be top if uncommon. Pay for Retain."
Scrawl,A,1,Skill,Rare,"Draw until hand full (4-5 usually). Rare and doesn't upgrade to 0 cost (like Watcher version). Not strong early. Later game pickup. With Borrowed Time/Production = good. Lined up Prepared+Sly = makes sense."
Secret Technique,S,0,Skill,Rare,"Very strong. People sleep on tutoring. Seek skills (usually combo pieces). Can get Production for energy. Buy fairly frequently. Skills are main things to tutor after powers."
Secret Weapon,B,0,Skill,Rare,"Much worse than Secret Technique. Attacks not usually what you want to tutor. Rare hurts. Regent can tutor star payoff. Pommel Strike on Clad = better. Average tier."
Seeker Strike,B,1,Attack,Uncommon,"Awkward. Random selection from 3 cards in draw pile. 9 damage for 1 = not great past early game. Rather not add card that's one draw from powers. Average."
Shockwave,S,2,Skill,Uncommon,"Ironclad card from Spire 1 unchanged. 3 Weak + 3 Vuln AoE. Why is this off Clad? Perma-weak perma-vuln every character. From Neow = insane. Shop = insane. Late game = insane."
Splash,A,1,Skill,Uncommon,"Get attacks from other characters, free to play this turn. Can solve boss with scaling attack. Cheat energy (Hyperbeam, Meteor Strike). Top of 'most time good'. Don't pick Osty attacks (can't use without Osty). Similar to Discovery."
Stratagem,C,1,Power,Uncommon,"Weird. On shuffle, choose card from draw pile. Doesn't work until turn 3-4. Voltaic synergy? Consistency power that works AFTER first cycle. Strange."
The Bomb,B,2,Skill,Uncommon,"Meme'd in Spire 1 but buffed (rare→uncommon). 40 delayed AOE = like Doom. Sit and block, make progress. If no output solve, big number. 1 energy = 20 damage rate. Ok from Neow. Top of average."
The Gambit,C,0,Skill,Rare,"50 block but die if take unblocked attack. More uses than people think. Barricade enabler. People sleeping on it. Situational but can play."
Thinking Ahead,A,0,Skill,Uncommon,"Not draw positive - card selection. Like Retain in weird way. Top deck manipulation (Regent). Feel No Pain synergy. Bottom of 'most time good'. Helps line up combos but not drawing closer to stuff."
Thrumming Hatchet,A,1,Attack,Uncommon,"11 damage (14 upgraded), returns to hand. Never redraw = consistency fix. Uncommon = can see early. First shop buy performs well. Strong early, not wanted Act 2-3. Bottom of 'most time good'."
Ultimate Defend,A,1,Skill,Uncommon,"11 block = insanely high rate. Works with Fasten. Big dense card. Saves million HP. From Neow = really happy. Most time good."
Ultimate Strike,B,1,Attack,Uncommon,"14 damage = big but worse than Thrumming Hatchet. No other effect, no consistency fix, don't want to redraw. Average from Neow but not exciting."
Volley,C,0,Attack,Uncommon,"X cost = weird. Random targeting = bad. Not AoE, smaller number. Works with Str/Chem X. Can't target = much worse. Early damage but situational."
